カテゴリID,カテゴリ名,カテゴリ名（フル）
vQuSuG5WNXXFHKEZ5n3oMH,ケース・ボックス・コンテナ,家具・インテリア > ケース・ボックス・コンテナ
Rqcq7s38cCo5nP9p3eRwmN,隙間収納・デッドスペース収納,家具・インテリア > 隙間収納・デッドスペース収納
gVxMXD3PacEvfPPwYf8RHZ,IoTデバイス(スマートデバイス),スマホ・タブレット・パソコン > IoTデバイス(スマートデバイス)
aT8HxL8urRCYxSEs5hQSaL,バトントワリング,スポーツ > バトントワリング
sMetyz867vSfJEd6NJoL36,新体操・器械体操,スポーツ > 新体操・器械体操
h6hsZht2T6dEADihP92bn3,体育器具・用品,スポーツ > 体育器具・用品
T8XVrqaNf5YjSEZ6k72hB3,その他,スポーツ > その他
uZzsvtai7NK2reFYuZqxoY,まとめ売り,キッチン・日用品・その他 > まとめ売り
AJzXcSkbJHKDJhwJ3tC643,応募券,チケット > 応募券
LzkYf5TePtrat28jvbN4wF,人工観葉・フェイクグリーン,フラワー・ガーデニング > 人工観葉・フェイクグリーン
GdzeFaMqg7U7jXqEpvVixZ,水生植物,フラワー・ガーデニング > 水生植物
oXy6RnFsyY3SWQCCgPa83M,種芋,フラワー・ガーデニング > 種芋
DwtForyDGB4MBpitZob9PD,人工芝,フラワー・ガーデニング > 人工芝
riAXmXmsdx6vSNzCChL2bE,ドライフラワー,フラワー・ガーデニング > ドライフラワー
2sPfZa5rrEPWcWKrTaDGCU,ハーバリウム,フラワー・ガーデニング > ハーバリウム
SC64BD5CPxfGbopmFyaofh,リース,フラワー・ガーデニング > リース
u7xnXXsN3ZtzMFBr4poDMJ,パーティグッズ,ゲーム・おもちゃ・グッズ > パーティグッズ
GZasMeuqwMTdoTTXEHkZVA,手品,ゲーム・おもちゃ・グッズ > 手品
tWbaVex5ncb2x6k4pa9kHW,ミニチュア,ゲーム・おもちゃ・グッズ > ミニチュア
TDqK6SRBk7YeJQKCnGE7Nd,台車,DIY・工具 > 台車
kFVG6HTj9nGk7uwS8VUnAX,パチンコ・パチスロ,ホビー・楽器・アート > パチンコ・パチスロ
3R9hfvTbG9BkjECxjdqUPS,実験・工作,ホビー・楽器・アート > 実験・工作
rCwLbYRpcMmHZWE84hYDfZ,占い・開運,ホビー・楽器・アート > 占い・開運
